Hora,SO2 ,NO ,PM1.0 ,PM2.5 ,O3 ,CO,NO2 
18,3,2,12,8,74,0.2,14
19,3,2,5,8,57,0.2,26
20,3,3,7,10,38,0.3,39
21,3,3,6,8,37,0.3,34
22,3,2,9,9,40,0.2,27
23,3,2,6,8,36,0.3,23
24,3,2,7,8,41,0.2,20
1,3,2,6,6,53,0.2,14
2,3,2,4,5,74,0.2,6
3,3,2,6,5,87,0.2,4
4,3,2,9,7,80,0.2,5
5,3,2,10,8,73,0.2,9
6,3,2,12,8,69,0.2,13
7,3,2,13,9,69,0.2,12
8,3,3,16,9,69,0.2,13
9,3,4,14,11,68,0.2,16
10,3,3,15,9,74,0.2,13
11,3,3,17,9,77,0.2,10
12,3,3,10,8,79,0.2,9
13,3,4,8,8,75,0.2,13
14,3,3,17,10,74,0.2,12
15,3,4,13,7,73,0.2,13
16,3,3,11,7,76,0.2,9
17,3,2,13,7,79,0.2,6
18,3,2,13,8,78,0.2,7
19,3,2,10,6,79,0.2,7
20,3,2,10,8,79,0.2,6
21,3,2,6,7,81,0.2,6
22,3,2,6,7,85,0.2,5
23,3,2,11,6,88,0.2,4
24,3,2,14,7,91,0.2,4
1,3,2,9,5,90,0.2,4
2,3,2,8,6,86,0.2,4
3,3,2,11,6,86,0.1,4
4,3,2,13,7,84,0.2,4
5,3,2,12,6,81,0.2,5
6,3,2,13,6,80,0.2,7
7,3,2,13,6,78,0.2,9
8,3,3,11,7,78,0.2,9
9,3,3,21,7,81,0.2,8
10,3,3,25,8,82,0.2,6
11,3,3,26,6,81,0.2,7
12,3,3,20,6,82,0.2,7
13,3,3,28,9,88,0.2,7
14,3,3,21,7,88,0.2,8
15,3,2,19,8,93,0.2,7
16,3,2,19,6,87,0.2,7
17,3,2,14,6,80,0.2,8
18,3,2,8,6,80,0.2,8
19,3,2,12,8,82,0.2,7
20,3,2,12,8,82,0.2,7
21,3,2,10,6,82,0.2,6
22,3,2,6,6,84,0.2,5
23,3,2,8,6,84,0.2,5
24,3,2,7,6,87,0.2,4
1,3,2,8,6,86,0.2,4
2,3,2,11,6,85,0.2,4
3,3,2,9,5,85,0.1,4
4,3,2,10,7,84,0.2,5
5,3,2,16,8,80,0.2,7
6,3,2,14,8,75,0.2,10
7,3,2,17,8,79,0.2,10
8,3,2,16,8,83,0.2,9
9,3,2,12,7,84,0.2,7
10,3,2,8,6,84,0.2,5
11,3,3,12,8,85,0.2,6
12,3,3,16,6,85,0.2,7
13,3,3,18,6,85,0.2,7
14,3,3,20,6,86,0.1,8
15,3,3,19,8,85,0.2,10
16,3,3,21,8,90,0.2,9
17,3,3,14,7,82,0.2,14
18,3,2,15,8,88,0.2,9
19,3,2,12,8,79,0.2,8
20,3,2,13,9,74,0.2,9
21,3,2,8,6,75,0.2,9
22,3,2,10,8,72,0.2,9
23,3,2,6,5,77,0.2,6
24,3,2,6,6,72,0.2,7
1,3,2,10,7,68,0.2,5
2,3,2,8,6,59,0.1,7
3,3,2,9,7,56,0.2,9
4,3,2,8,7,57,0.2,9
5,3,3,10,8,54,0.2,14
6,3,2,10,8,60,0.2,10
7,3,2,10,7,64,0.2,9
8,3,3,18,9,65,0.2,10
9,3,2,14,8,73,0.1,6
10,3,3,22,7,73,0.1,6
11,3,3,10,6,74,0.1,8
12,3,3,15,8,83,0.2,8
13,3,2,19,7,90,0.2,6
14,3,2,17,7,89,0.2,6
15,3,2,11,7,88,0.2,6
16,3,2,13,7,88,0.2,6
17,3,2,10,8,84,0.2,6
18,3,2,6,5,72,0.2,9
19,3,2,6,8,73,0.2,6
20,3,2,6,6,78,0.2,6
21,3,2,4,8,80,0.2,5
22,3,2,9,8,81,0.2,6
23,3,2,25,8,82,0.2,4
24,3,2,14,6,82,0.2,4
1,3,2,10,6,81,0.2,4
2,3,2,5,5,80,0.1,4
3,3,2,7,6,65,0.2,6
4,3,2,7,6,67,0.2,6
5,3,2,13,9,69,0.2,10
6,3,2,21,9,69,0.2,14
7,3,5,16,10,45,0.2,31
8,3,3,22,9,76,0.2,10
9,3,2,18,9,81,0.2,7
10,3,3,21,10,83,0.2,7
11,3,3,21,9,87,0.2,7
12,3,3,18,8,90,0.2,8
13,3,3,18,8,92,0.2,9
14,3,3,16,7,95,0.2,7
15,3,2,16,8,96,0.2,6
16,3,3,22,11,95,0.2,8
17,3,2,28,11,93,0.2,6
18,3,2,23,11,92,0.2,7
19,3,2,20,11,88,0.2,7
20,3,2,20,11,86,0.2,8
21,3,2,20,10,84,0.2,7
22,3,2,16,9,81,0.2,6
23,3,2,16,8,74,0.2,8
24,3,2,13,8,60,0.2,16
1,3,2,14,8,57,0.2,14
2,3,2,9,6,43,0.2,12
3,3,2,6,8,41,0.2,11
4,3,2,8,8,35,0.2,17
5,3,2,10,9,33,0.2,23
6,3,18,26,14,9,0.3,56
7,3,16,26,13,19,0.3,53
8,3,5,30,10,59,0.2,20
9,3,4,28,11,68,0.2,12
10,3,3,26,11,73,0.2,8
11,3,3,26,8,72,0.2,7
12,3,3,22,8,72,0.2,7
13,3,3,26,8,72,0.2,7
14,3,3,20,8,70,0.2,6
15,3,3,15,8,77,0.2,6
16,3,3,14,9,75,0.2,7
17,3,3,14,11,72,0.2,8
18,3,2,8,8,71,0.1,6
19,3,2,4,6,62,0.2,8
20,3,2,5,7,67,0.1,6
21,3,2,20,8,70,0.1,5
22,3,2,22,8,68,0.1,5
23,3,2,23,6,64,0.1,4
24,3,2,19,6,65,0.1,4
1,3,2,17,7,64,0.1,3
2,3,2,10,6,62,0.1,4
3,3,2,6,6,60,0.1,4
4,3,2,4,5,59,0.1,4
5,3,2,8,5,57,0.1,5
6,3,2,21,6,54,0.1,8
7,3,2,14,5,49,0.1,7
8,3,3,18,6,50,0.1,6
9,3,3,49,7,53,0.1,5
10,3,3,41,8,53,0.1,6
11,3,3,38,6,56,0.1,6
12,3,3,38,5,56,0.1,5
13,3,3,34,6,58,0.1,5
14,3,3,51,7,58,0.1,6
15,3,3,95,7,57,0.1,5
16,3,3,93,6,57,0.1,6
17,3,3,66,7,59,0.1,6
18,3,2,56,8,61,0.1,5
19,3,2,20,6,60,0.1,5
20,3,2,13,8,61,0.1,5
21,3,2,8,6,61,0.2,4
22,3,2,6,6,64,0.1,4
23,3,2,11,6,65,0.1,4
24,3,2,6,5,66,0.1,3
1,3,2,8,6,68,0.1,4
2,3,2,11,5,68,0.1,4
3,3,2,11,6,69,0.1,4
4,3,2,13,6,68,0.1,4
5,3,2,10,6,68,0.1,6
6,3,2,13,9,68,0.2,7
7,3,2,12,8,73,0.2,9
8,3,3,14,10,73,0.2,9
9,3,3,16,11,73,0.2,8
10,N,3,26,10,73,0.1,7
11,3,3,30,6,73,0.2,7
12,3,3,39,6,75,0.1,6
13,3,3,50,9,73,0.2,6
14,3,3,101,8,71,0.1,5
15,3,3,73,8,70,0.1,6
16,3,3,58,7,72,0.2,6
17,3,2,46,8,77,0.1,6
18,3,2,37,9,79,0.1,6
19,3,2,23,11,80,0.2,6
20,3,2,19,11,80,0.1,5
21,3,2,22,10,79,0.1,5
22,3,2,17,8,79,0.1,4
23,3,2,20,8,78,0.1,4
24,3,2,14,6,79,0.1,4
1,3,2,16,8,82,0.1,5
2,3,2,14,6,87,0.1,4
3,3,2,18,11,86,0.1,4
4,3,2,25,10,85,0.1,4
5,3,2,15,8,85,0.2,6
6,3,2,14,10,84,0.2,8
7,3,2,28,12,82,0.2,9
8,3,3,27,11,84,0.2,9
9,3,3,35,13,88,0.2,7
10,3,3,38,11,89,0.2,8
11,3,4,58,13,87,0.2,10
12,3,3,78,13,88,0.2,9
13,3,2,58,11,89,0.1,6
14,3,3,53,11,88,0.1,5
15,3,3,61,13,87,0.1,6
16,3,2,62,14,86,0.2,6
17,3,2,60,13,87,0.1,5
18,3,2,47,11,88,0.1,6
19,3,2,39,14,87,0.2,6
20,3,2,28,13,87,0.1,6
21,3,2,27,13,90,0.1,5
22,3,2,24,11,91,0.1,4
23,3,2,23,11,89,0.1,4
24,3,2,25,11,88,0.1,4
1,3,2,21,9,87,0.1,4
2,3,2,12,9,87,0.1,4
3,3,2,14,10,85,0.1,4
4,3,2,14,11,82,0.1,4
5,3,2,14,10,82,0.1,5
6,3,2,18,11,85,0.1,5
7,3,2,43,13,86,0.1,5
8,3,2,66,13,85,0.1,6
9,3,2,69,15,86,0.1,6
10,3,3,67,13,88,0.1,6
11,3,3,47,12,89,0.1,6
12,3,2,44,12,90,0.1,7
13,3,3,41,13,87,0.1,7
14,3,3,42,11,84,0.1,8
15,3,3,34,12,84,0.1,6
16,3,2,34,12,84,0.1,5
17,3,2,30,10,82,0.1,5
18,3,2,25,11,80,0.1,5
19,3,2,26,11,79,0.1,5
20,3,2,15,8,79,0.1,6
21,3,2,19,11,79,0.1,5
22,3,2,22,11,79,0.1,6
23,3,2,14,8,82,0.1,5
24,3,2,12,6,83,0.1,4
1,3,2,6,7,83,0.1,4
2,3,2,10,6,84,0.1,4
3,3,2,10,7,85,0.1,4
4,3,2,6,6,85,0.1,4
5,3,2,10,8,81,0.1,5
6,3,2,16,8,79,0.1,5
7,3,2,12,8,76,0.1,6
8,3,2,11,6,83,0.1,4
9,3,2,15,10,82,0.1,5
10,3,2,38,13,85,0.2,6
11,3,2,30,10,88,0.2,6
12,3,3,20,8,88,0.2,7
13,3,3,18,6,85,0.1,5
14,3,2,42,7,86,0.1,5
15,3,3,81,7,86,0.1,8
16,3,2,26,11,93,0.2,6
17,3,2,20,8,88,0.1,5
18,3,2,19,8,84,0.2,7
19,3,2,18,8,83,0.2,7
20,3,2,14,8,75,0.2,9
21,3,2,12,8,72,0.2,10
22,3,2,9,7,71,0.2,8
23,3,2,10,8,64,0.1,9
24,3,2,10,7,58,0.1,11
1,3,2,7,6,50,0.1,10
2,3,2,9,6,49,0.1,10
3,3,2,9,7,42,0.1,13
4,3,2,12,7,47,0.1,12
5,3,3,18,8,41,0.2,21
6,3,3,16,9,28,0.2,38
7,3,14,14,9,22,0.3,42
8,3,3,26,9,64,0.2,13
9,3,3,25,8,66,0.2,11
10,3,3,18,8,73,0.2,11
11,3,2,16,7,76,0.2,11
12,3,3,14,7,76,0.1,10
13,7,16,9,6,47,0.2,44
14,6,6,11,7,60,0.2,32
15,3,3,11,6,78,0.2,13
16,3,3,16,8,78,0.2,12
17,3,2,10,6,79,0.1,7
18,3,2,14,7,77,0.1,10
19,3,2,14,8,78,0.1,6
20,3,2,12,8,74,0.1,8
21,3,2,11,8,75,0.1,7
22,3,2,16,6,69,0.1,7
23,3,2,19,8,65,0.1,9
24,3,2,19,6,80,0.1,5
1,3,2,10,6,66,0.1,7
2,3,2,9,6,59,0.1,10
3,3,2,8,6,60,0.1,10
4,3,2,9,6,58,0.2,11
5,3,2,9,8,49,0.2,25
6,3,2,18,10,53,0.2,25
7,3,4,15,9,53,0.2,31
8,3,3,16,7,78,0.2,9
9,3,3,17,8,81,0.2,9
10,3,3,13,8,83,0.2,9
11,3,3,11,7,85,0.2,8
12,3,3,9,6,85,0.2,7
13,3,3,10,6,85,0.2,7
14,3,3,10,6,86,0.2,6
15,3,3,12,7,83,0.2,6
16,3,2,8,6,80,0.2,5
17,3,3,10,8,77,0.2,6
18,3,2,13,7,77,0.2,8
19,3,2,10,9,80,0.2,7
20,3,3,15,7,77,0.2,8
21,3,2,5,7,83,0.1,5
22,3,2,5,8,71,0.1,7
23,3,2,10,8,73,0.1,8
24,3,2,9,6,48,0.2,16
1,3,2,4,6,50,0.2,13
2,3,2,6,6,54,0.1,8
3,3,2,6,7,60,0.1,9
4,3,2,7,6,56,0.1,12
5,3,2,5,8,44,0.2,21
6,3,3,8,9,41,0.2,30
7,3,4,14,10,51,0.2,26
8,3,3,33,10,77,0.2,12
9,3,3,26,8,85,0.2,7
10,3,3,19,8,88,0.2,7
11,3,3,12,7,90,0.2,6
12,3,2,9,6,89,0.2,6
13,3,3,10,6,89,0.2,6
14,3,3,8,6,89,0.2,6
15,3,3,7,6,82,0.2,6
16,3,3,7,6,80,0.2,6
17,3,3,8,8,82,0.2,6
18,3,3,10,7,84,0.2,8
19,3,2,12,8,84,0.2,6
20,3,2,15,8,79,0.2,6
21,3,2,6,8,79,0.3,6
22,3,2,13,8,71,0.2,9
23,3,2,9,7,64,0.2,12
24,3,2,8,6,66,0.2,10
1,3,2,9,8,55,0.2,15
2,3,2,10,8,57,0.1,12
3,3,2,6,6,53,0.1,10
4,3,2,4,7,53,0.1,10
5,3,3,5,8,35,0.2,23
6,3,4,8,11,23,0.2,44
7,3,8,14,11,31,0.2,42
8,3,8,50,13,52,0.2,27
9,3,5,32,10,69,0.2,14
10,3,3,23,8,77,0.2,8
11,3,3,14,6,80,0.2,7
12,3,3,7,6,78,0.2,7
13,3,3,10,6,76,0.2,7
14,3,3,6,4,75,0.1,6
15,3,3,7,6,75,0.2,6
16,3,3,7,7,92,0.2,7
17,3,3,7,7,83,0.2,7
18,3,2,8,6,71,0.2,6
19,3,3,7,6,69,0.2,7
20,3,2,9,7,70,0.2,5
21,3,2,6,6,69,0.2,5
22,3,2,7,6,70,0.2,6
23,3,2,5,5,70,0.1,5
24,3,2,4,5,59,0.2,8
1,3,2,4,6,37,0.2,18
2,3,2,5,7,47,0.2,14
3,3,2,4,6,49,0.1,15
4,3,2,4,6,N,0.2,20
5,3,3,4,7,N,0.2,24
6,3,4,7,9,N,0.2,40
7,3,6,13,7,41,0.2,32
8,3,3,26,8,61,0.1,11
9,3,4,30,8,63,0.1,11
10,3,3,24,8,67,0.1,8
11,3,3,27,7,65,0.1,6
12,3,3,14,5,65,0.1,6
13,3,3,12,6,66,0.1,6
14,3,2,13,6,63,0.1,6
15,3,2,17,6,57,0.1,5
16,3,2,32,7,56,0.1,5
17,3,2,18,8,54,0.1,5
18,3,2,13,8,54,0.1,6
19,3,2,10,7,51,0.1,7
20,3,2,4,10,59,0.1,8
21,3,2,15,11,58,0.2,9
22,3,2,10,8,48,0.1,12
23,3,2,6,8,37,0.2,21
24,3,2,6,6,36,0.2,20
1,3,2,4,5,21,0.2,22
2,3,2,4,8,22,0.2,21
3,3,2,4,6,23,0.1,25
4,3,3,4,7,24,0.1,23
5,3,3,4,8,20,0.2,22
6,3,4,6,8,14,0.2,35
7,3,8,14,9,18,0.2,32
8,3,5,19,7,48,0.1,16
9,3,5,26,9,56,0.1,12
10,3,4,31,10,59,0.1,9
11,3,5,26,8,57,0.1,12
12,3,4,30,8,63,0.1,9
13,3,3,24,8,67,0.1,6
14,3,2,14,8,69,0.1,4
15,3,2,15,7,70,0.1,4
16,3,2,14,8,64,0.1,4
17,3,2,10,8,56,0.1,4
18,3,2,10,8,53,0.1,4
19,3,2,14,9,52,0.1,4
20,3,2,11,8,47,0.1,5
21,3,2,7,9,51,0.1,6
22,3,2,6,8,50,0.1,10
23,3,2,5,9,34,0.2,20
24,3,2,4,8,29,0.2,25
1,3,2,4,8,34,0.1,21
2,3,2,4,6,41,0.1,12
3,3,2,4,7,41,0.1,11
4,3,2,6,7,40,0.1,10
5,3,2,5,8,37,0.1,13
6,3,2,9,8,40,0.1,13
7,3,3,6,9,35,0.1,15
8,3,3,40,10,56,0.1,8
9,3,3,25,8,59,0.1,8
10,3,3,18,9,64,0.1,8
11,3,3,11,8,69,0.1,6
12,3,3,8,8,69,0.1,6
13,3,2,15,9,64,0.1,5
14,3,2,12,8,61,0.1,5
15,3,3,9,8,63,0.1,4
16,3,3,8,10,62,0.1,5
17,3,3,10,10,62,0.1,5
18,3,3,10,9,60,0.1,5
19,3,2,10,8,58,0.1,6
20,3,2,10,9,54,0.1,5
21,3,2,8,9,53,0.1,5
22,3,2,9,8,53,0.1,4
23,3,2,6,7,48,0.1,4
24,3,2,6,6,47,0.1,4
1,3,2,5,6,47,0.1,4
2,3,2,4,6,46,0.1,3
3,3,2,8,7,44,0.1,4
4,3,2,8,5,44,0.1,4
5,3,2,5,6,45,0.1,5
6,3,3,10,8,42,0.1,7
7,3,3,21,8,38,0.1,11
8,3,3,15,6,41,0.1,7
9,3,3,17,8,39,0.1,7
10,3,3,30,7,40,0.1,6
11,3,3,27,6,42,0.1,5
12,3,3,12,7,53,0.1,5
13,3,5,10,8,55,0.1,13
14,3,6,5,9,60,0.1,17
15,3,7,7,8,63,0.1,17
16,3,3,9,8,73,0.1,8
17,3,3,9,8,78,0.1,6
18,3,2,10,8,78,0.1,4
19,3,2,16,9,77,0.1,5
20,3,2,19,9,77,0.1,5
21,3,2,22,8,77,0.1,5
22,3,2,17,6,77,0.1,5
23,3,2,10,8,76,0.1,4
24,3,2,14,6,67,0.1,6
1,3,2,13,6,69,0.1,5
2,3,2,10,5,71,0.1,5
3,3,2,5,6,73,0.1,9
4,3,2,7,6,62,0.1,11
5,3,2,8,6,52,0.1,20
6,3,2,7,7,65,0.2,15
7,3,3,24,8,68,0.2,17
8,3,4,14,6,74,0.1,14
9,3,2,6,6,84,0.1,5
10,3,3,14,8,86,0.1,6
11,3,2,31,7,87,0.1,5
12,3,3,23,8,91,0.1,7
13,3,3,26,9,94,0.1,11
14,3,2,22,6,93,0.1,8
15,3,3,10,7,84,0.1,12
16,3,3,27,8,82,0.1,14
17,3,2,17,6,85,0.1,7
18,3,2,10,6,85,0.1,6
19,3,2,10,6,82,0.1,6
20,3,2,11,7,75,0.1,9
21,3,2,10,8,47,0.2,26
22,3,2,12,7,56,0.2,20
23,3,2,10,6,66,0.1,11
24,3,2,6,6,58,0.2,15
1,3,2,10,6,51,0.1,12
2,3,2,7,6,47,0.1,10
3,3,2,6,6,44,0.1,13
4,3,2,7,6,51,0.1,14
5,3,2,5,6,54,0.1,18
6,3,5,14,8,44,0.2,30
7,3,4,18,8,59,0.1,20
8,3,4,24,7,72,0.1,17
9,3,4,30,9,78,0.1,13
10,3,3,32,6,83,0.1,11
11,3,2,33,6,86,0.1,5
12,3,2,18,6,86,0.1,4
13,3,2,12,6,85,0.1,4
14,3,2,14,5,85,0.1,4
15,3,2,14,5,83,0.1,5
16,3,2,13,6,83,0.1,4
17,3,2,11,5,82,0.1,4
18,3,2,7,6,81,0.1,6
19,3,2,6,6,81,0.1,6
20,3,2,6,6,78,0.1,7
21,3,2,8,6,71,0.1,10
22,3,2,8,7,67,0.1,13
23,3,2,7,6,65,0.1,12
24,3,2,5,4,70,0.1,8
1,3,2,4,4,62,0.1,10
2,3,2,4,4,70,0.1,8
3,3,2,4,5,75,0.1,6
4,3,2,10,6,69,0.1,7
5,3,2,10,6,69,0.1,10
6,3,2,9,6,61,0.1,17
7,3,3,14,8,64,0.1,18
8,3,3,30,7,79,0.1,7
9,N,2,27,8,81,0.1,5
10,3,3,N,7,79,0.1,5
11,3,2,14,7,83,0.1,5
12,3,3,16,7,81,0.1,5
13,3,3,14,6,81,0.1,6
14,3,2,11,7,85,0.1,4
15,3,2,10,6,90,0.1,4
16,3,3,10,6,76,0.1,5
17,3,2,10,6,75,0.1,5
18,3,2,10,8,75,0.1,6
19,3,2,9,7,76,0.1,6
20,3,2,8,8,79,0.1,5
21,3,2,7,8,68,0.1,9
22,3,2,6,7,47,0.2,19
23,3,2,8,8,37,0.2,22
24,3,2,8,7,37,0.2,19
1,3,2,10,7,45,0.1,13
2,3,2,9,6,44,0.1,10
3,3,2,10,7,46,0.1,11
4,3,2,10,7,45,0.1,15
5,3,3,10,9,29,0.1,28
6,3,14,15,11,13,0.2,54
7,3,7,26,11,44,0.1,36
8,3,5,29,11,70,0.1,24
9,3,3,31,10,83,0.1,11
10,3,3,35,10,91,0.1,5
11,3,2,46,8,86,0.1,4
12,3,2,38,8,79,0.1,4
13,3,2,26,8,83,0.1,4
14,3,2,30,8,77,0.1,4
15,3,2,31,8,77,0.1,4
16,3,2,38,9,76,0.1,5
17,3,2,24,7,71,0.1,6
18,3,3,21,10,72,0.1,9
19,3,2,21,10,65,0.1,11
20,3,2,14,8,52,0.1,16
21,3,2,15,11,53,0.1,14
22,3,2,38,9,42,0.1,19
23,3,2,19,9,61,0.2,12
24,3,2,9,8,51,0.2,15
1,3,2,14,8,57,0.2,12
2,3,2,5,8,35,0.2,16
3,3,2,5,6,39,0.1,12
4,3,2,4,8,25,0.1,15
5,3,3,5,10,18,0.1,21
6,3,9,10,12,6,0.2,36
7,3,10,30,11,24,0.2,28
8,3,3,15,6,57,0.1,9
9,3,3,14,6,64,0.1,6
10,3,2,25,11,68,0.1,6
11,3,3,29,8,71,0.1,7
12,3,2,18,6,72,0.1,6
13,3,3,14,4,72,0.1,5
14,3,3,24,7,70,0.1,6
15,3,3,14,7,69,0.1,5
16,3,3,16,7,70,0.1,7
17,3,3,5,5,64,0.1,10
18,3,3,16,8,61,0.1,13
19,3,2,6,7,62,0.1,10
20,3,2,4,6,66,0.1,7
21,3,2,5,6,64,0.1,7
22,3,2,4,6,70,0.1,5
23,3,2,4,4,70,0.1,5
24,3,2,4,6,69,0.1,5
1,3,2,4,4,70,0.1,4
2,3,2,4,4,76,0.1,4
3,3,2,4,5,77,0.1,4
4,3,2,5,6,79,0.1,4
5,3,2,5,6,81,0.1,4
6,3,2,7,6,82,0.1,4
7,3,2,6,6,84,0.1,4
8,3,2,11,4,85,0.1,4
9,3,2,37,7,85,0.1,4
10,3,3,51,6,82,0.1,6
11,3,3,55,8,81,0.1,7
12,3,3,54,7,80,0.1,6
13,3,3,35,7,79,0.1,7
14,3,2,26,5,78,0.1,6
15,3,2,28,12,80,0.1,5
16,3,3,19,4,80,0.1,7
17,3,3,21,8,83,0.1,7
18,3,2,19,8,80,0.1,7
19,3,2,20,8,83,0.1,6
20,3,2,5,7,73,0.1,8
21,3,2,4,8,73,0.1,7
22,3,2,8,8,76,0.1,6
23,3,2,6,6,78,0.1,4
24,3,2,5,6,80,0.1,4
1,3,2,10,6,78,0.1,4
2,3,2,11,6,77,0.1,4
3,3,2,6,5,76,0.1,4
4,3,2,4,5,79,0.1,4
5,3,2,14,9,69,0.1,8
6,3,2,19,8,63,0.1,12
7,3,3,20,8,70,0.1,13
8,3,3,19,6,76,0.1,7
9,3,3,29,8,78,0.1,6
10,3,3,44,10,80,0.1,6
11,3,3,39,7,81,0.1,6
12,3,3,33,6,80,0.1,6
13,3,3,36,7,79,0.1,6
14,3,3,38,9,82,0.1,5
15,3,2,28,7,79,0.1,6
16,3,3,32,10,80,0.1,7
17,3,3,30,8,84,0.1,7
18,3,2,23,8,84,0.1,6
19,3,2,6,6,72,0.1,7
20,3,2,9,9,75,0.1,7
21,3,2,9,8,78,0.1,6
22,3,2,6,7,81,0.1,4
23,3,2,7,7,83,0.1,4
24,3,2,7,7,83,0.1,4
1,3,2,6,6,82,0.1,5
2,3,2,6,7,82,0.1,3
3,3,2,6,6,82,0.1,4
4,3,2,7,7,80,0.1,5
5,3,2,14,8,74,0.1,9
6,3,2,17,9,64,0.1,16
7,3,3,18,9,72,0.1,12
8,3,3,19,8,78,0.1,8
9,3,3,22,8,81,0.1,6
10,3,2,28,11,82,0.1,6
11,3,3,40,11,86,0.1,6
12,3,3,35,8,88,0.1,7
13,3,2,24,6,86,0.1,5
14,3,2,19,8,84,0.1,5
15,3,2,22,6,89,0.1,5
16,3,3,17,6,82,0.1,7
17,3,2,26,9,75,0.1,8
18,3,3,18,8,74,0.1,9
19,3,2,15,9,71,0.1,13
20,3,2,10,8,75,0.1,9
21,3,2,6,8,77,0.1,6
22,3,2,6,8,78,0.1,6
23,3,2,9,8,79,0.1,5
24,3,2,7,6,80,0.1,5
1,3,2,6,6,78,0.1,4
2,3,2,8,8,77,0.1,5
3,3,2,9,8,78,0.1,5
4,3,2,9,6,80,0.1,6
5,3,2,11,8,73,0.1,10
6,3,3,12,9,48,0.1,23
7,3,4,20,10,62,0.1,23
8,3,3,17,8,82,0.1,8
9,3,3,19,8,85,0.1,7
10,3,3,29,8,85,0.1,9
11,3,3,35,9,89,0.1,7
12,3,2,29,8,91,0.1,6
13,3,2,26,8,89,0.1,6
14,3,3,52,10,88,0.1,6
15,3,2,46,9,90,0.1,6
16,3,3,30,8,85,0.1,8
17,3,3,26,8,84,0.1,10
18,3,3,17,8,83,0.1,14
19,3,2,13,8,94,0.1,11
20,3,2,10,8,N,0.1,11
21,3,2,8,8,N,0.1,7
22,3,2,8,8,N,0.1,6
23,3,2,7,7,N,0.1,5
24,3,2,6,6,N,0.1,4
1,3,2,5,6,N,0.1,4
2,3,2,6,5,N,0.1,4
3,3,2,6,7,N,0.1,4
4,3,2,6,7,N,0.1,6
5,3,2,28,10,N,0.1,13
6,3,2,22,9,N,0.1,29
7,3,3,24,8,70,0.1,22
8,3,4,23,9,63,0.1,16
9,3,5,22,8,62,0.1,14
10,3,3,27,8,63,0.1,9
11,3,3,22,8,59,0.1,9
12,3,4,22,7,58,0.1,11
13,3,3,22,8,61,0.1,7
14,3,3,23,8,62,0.1,6
15,3,3,20,8,61,0.1,6
16,3,2,16,8,60,0.1,5
17,3,3,18,9,61,0.1,6
18,3,2,15,8,58,0.1,5
19,3,2,11,8,50,0.1,10
20,3,2,10,10,43,0.1,16
21,3,2,10,9,42,0.1,16
22,3,2,8,9,45,0.1,10
23,3,2,6,7,40,0.1,15
24,3,2,6,7,44,0.1,12
1,3,2,7,6,44,0.1,11
2,3,2,6,7,44,0.1,12
3,3,2,5,6,39,0.1,19
4,3,2,4,6,48,0.1,12
5,3,2,4,8,50,0.1,12
6,3,2,10,8,42,0.1,19
7,3,4,11,8,47,0.1,18
8,3,4,17,8,54,0.1,13
9,3,4,22,8,58,0.1,10
10,3,3,27,8,62,0.1,5
11,3,2,30,8,62,0.1,4
12,3,2,41,8,63,0.1,4
13,3,2,33,6,61,0.1,4
14,3,2,20,6,61,0.1,4
15,3,3,18,6,63,0.1,4
16,3,2,23,7,63,0.1,5
17,3,3,19,8,58,0.1,8
18,3,3,21,9,52,0.1,13
19,3,2,15,10,48,0.1,15
20,3,2,10,8,54,0.1,10
21,3,2,11,8,50,0.1,14
22,3,2,11,8,46,0.1,16
23,3,2,13,8,50,0.1,11
24,3,2,8,7,47,0.1,16
1,3,2,4,6,63,0.1,6
2,3,2,6,7,63,0.1,4
3,3,2,10,7,63,0.1,4
4,3,2,14,8,61,0.1,6
5,3,2,14,8,60,0.1,7
6,3,2,10,8,63,0.1,8
7,3,3,25,9,58,0.1,11
8,3,3,23,9,65,0.1,8
9,3,3,41,10,66,0.1,7
10,3,2,50,9,70,0.1,5
11,3,3,81,11,71,0.1,6
12,3,3,90,11,71,0.1,6
13,3,3,82,9,72,0.1,6
14,3,3,85,11,73,0.1,7
15,3,2,109,10,76,0.1,5
16,3,2,89,11,76,0.1,6
17,3,3,47,9,71,0.1,10
18,3,3,43,10,65,0.1,14
19,3,2,34,12,65,0.1,15
20,3,2,18,9,64,0.1,16
21,3,2,8,8,74,0.1,10
22,3,2,6,8,83,0.1,5
23,3,2,10,8,91,0.1,4
24,3,2,10,6,98,0.1,4
1,3,2,5,6,N,0.1,4
2,3,2,18,9,N,0.1,4
3,3,2,9,7,N,0.1,4
4,3,2,7,6,N,0.1,4
5,3,2,13,10,N,0.1,4
6,3,2,26,10,N,0.1,4
7,3,2,16,8,N,0.1,4
8,3,2,9,7,N,0.1,4
9,3,2,26,12,N,0.1,5
10,3,3,29,10,N,0.1,8
11,3,3,24,11,N,0.1,9
12,3,3,34,13,N,0.1,7
13,3,2,49,13,N,0.1,6
14,3,3,35,11,N,0.1,8
15,3,3,54,13,N,0.1,9
16,5,3,45,11,N,0.1,9
17,4,3,30,11,N,0.1,5
18,3,2,24,12,N,0.1,6
19,3,2,27,13,N,0.1,6
20,3,2,22,11,N,0.1,5
21,3,2,14,10,N,0.1,4
22,4,2,18,11,N,0.1,5
23,3,2,26,11,N,0.1,4
24,3,2,18,9,N,0.1,4
